,stt,cap_huyen,cap_tinh,note,population,area,pop_density,so_xa
0,1,A Lưới,Thừa Thiên Huế,,56370,"1225,2",460,18
1,2,An Biên,Kiên Giang,,115218,4003,2880,9
2,3,An Dương,Hải Phòng,,195717,1042,1878,16
3,4,An Khê,Gia Lai,thị xã,65918,2001,3290,11
4,5,An Lão,Hải Phòng,,146712,1177,1246,17
5,6,An Lão,Bình Định,,27837,6969,400,10
6,7,An Minh,Kiên Giang,,115720,5905,1960,11
7,8,An Nhơn,Bình Định,thị xã,175709,2445,7190,15
8,9,An Phú,An Giang,,148615,2262,6570,14
9,10,Ân Thi,Hưng Yên,,134403,1300,1034,21
10,11,Anh Sơn,Nghệ An,,116922,6033,1940,21
11,12,Ayun Pa,Gia Lai,thị xã,39936,2872,1390,8
12,13,Ba Bể,Bắc Kạn,,48325,6841,710,15
13,14,Ba Chẽ,Quảng Ninh,,22103,6065,360,8
14,15,Ba Đình,Hà Nội,quận,221893,92,24119,14
15,16,Ba Đồn,Quảng Bình,thị xã,106413,1623,6560,16
16,17,Bà Rịa,Bà Rịa – Vũng Tàu,thành phố,108701,910,1195,11
17,18,Bá Thước,Thanh Hóa,,100834,7776,1300,21
18,19,Ba Tơ,Quảng Ngãi,,59438,"1137,6",520,19
19,20,Ba Tri,Bến Tre,,184734,3672,5030,23
20,21,Ba Vì,Hà Nội,,290580,4230,6870,31
21,22,Bác Ái,Ninh Thuận,,30598,"1027,2",300,9
22,23,Bắc Bình,Bình Thuận,,129374,"1868,8",690,18
23,24,Bắc Giang,Bắc Giang,thành phố,174229,666,2616,16
24,25,Bắc Hà,Lào Cai,,65338,6833,960,19
25,26,Bắc Kạn,Bắc Kạn,thành phố,45036,1369,3290,8
26,27,Bạc Liêu,Bạc Liêu,thành phố,156110,1754,8900,10
27,28,Bắc Mê,Hà Giang,,54592,8561,640,13
28,29,Bắc Ninh,Bắc Ninh,thành phố,247702,826,2999,19
29,30,Bắc Quang,Hà Giang,,118690,"1105,6",1070,23
30,31,Bắc Sơn,Lạng Sơn,,71967,6994,1030,18
31,32,Bắc Tân Uyên,Bình Dương,,65860,4003,1650,10
32,33,Bắc Trà My,Quảng Nam,,41335,8470,490,13
33,34,Bắc Từ Liêm,Hà Nội,quận,340605[3],452,7529,13
34,35,Bắc Yên,Sơn La,,66784,"1098,6",610,16
35,36,Bạch Long Vĩ,Hải Phòng,huyện đảo,624,31,2010,0
36,37,Bạch Thông,Bắc Kạn,,31061,5465,570,14
37,38,Bảo Lạc,Cao Bằng,,54420,9207,590,17
38,39,Bảo Lâm,Cao Bằng,,65025,9131,710,13
39,40,Bảo Lâm,Lâm Đồng,,118090,"1463,4",810,14
40,41,Bảo Lộc,Lâm Đồng,thành phố,158684,2332,6800,11
41,42,Bảo Thắng,Lào Cai,,103262[4],6520,1580,14
42,43,Bảo Yên,Lào Cai,,85564,8183,1050,17
43,44,Bát Xát,Lào Cai,,74388[4],"1035,5",720,21
44,45,Bàu Bàng,Bình Dương,,92679,3400,2730,7
45,46,Bến Cát,Bình Dương,thị xã,302782,2344,1292,8
46,47,Bến Cầu,Tây Ninh,,69849,2375,2940,9
47,48,Bến Lức,Long An,,181660,2879,6310,15
48,49,Bến Tre,Bến Tre,thành phố,124499,706,1763,14
49,50,Biên Hòa,Đồng Nai,thành phố,1055414,2636,4004,30
50,51,Bỉm Sơn,Thanh Hóa,thị xã,58378,639,9140,7
51,52,Bình Chánh,Thành phố Hồ Chí Minh,,705508,2527,2792,16
52,53,Bình Đại,Bến Tre,,137304,4273,3210,20
53,54,Bình Gia,Lạng Sơn,,52689,"1094,2",480,19
54,55,Bình Giang,Hải Dương,,119229,1062,1123,16
55,56,Bình Liêu,Quảng Ninh,,31637,4701,670,7
56,57,Bình Long,Bình Phước,thị xã,57598,1262,4560,6
57,58,Bình Lục,Hà Nam,,133046,1442,9230,17
58,59,Bình Minh,Vĩnh Long,thị xã,94862,936,1013,8
59,60,Bình Sơn,Quảng Ngãi,,181050,4662,3880,22
60,61,Bình Tân,Thành phố Hồ Chí Minh,quận,784173,519,15109,10
61,62,Bình Tân,Vĩnh Long,,95709,1581,6050,10
62,63,Bình Thạnh,Thành phố Hồ Chí Minh,quận,499164,208,23998,20
63,64,Bình Thủy,Cần Thơ,quận,142164,711,1999,8
64,65,Bình Xuyên,Vĩnh Phúc,,131013,1485,8820,13
65,66,Bố Trạch,Quảng Bình,,188375,"2115,5",890,28
66,67,Bù Đăng,Bình Phước,,140077,"1501,2",930,16
67,68,Bù Đốp,Bình Phước,,57311,3815,1500,7
68,69,Bù Gia Mập,Bình Phước,,85013,"1064,3",800,8
69,70,Buôn Đôn,Đắk Lắk,,64251,"1410,4",460,7
70,71,Buôn Hồ,Đắk Lắk,thị xã,98732,2825,3490,12
71,72,Buôn Ma Thuột,Đắk Lắk,thành phố,375590,3772,9960,21
72,73,Cà Mau,Cà Mau,thành phố,226372,2492,9080,17
73,74,Cái Bè,Tiền Giang,,292738,4164,7030,25
74,75,Cai Lậy,Tiền Giang,thị xã,125615,1410,8910,16
75,76,Cai Lậy,Tiền Giang,,193328,2948,6560,16
76,77,Cái Nước,Cà Mau,,136638,4171,3280,11
77,78,Cái Răng,Cần Thơ,quận,105393,668,1578,7
78,79,Cẩm Giàng,Hải Dương,,147810,1101,1343,17
79,80,Cẩm Khê,Phú Thọ,,139424,2339,5960,24
80,81,Cam Lâm,Khánh Hòa,,108979,5472,1990,14
81,82,Cẩm Lệ,Đà Nẵng,quận,159295,358,445,6
82,83,Cam Lộ,Quảng Trị,,47777,3445,1390,8
83,84,Cẩm Mỹ,Đồng Nai,,139362,4686,2970,13
84,85,Cẩm Phả,Quảng Ninh,thành phố,190232,3865,4920,16
85,86,Cam Ranh,Khánh Hòa,thành phố,130814,3270,4000,15
86,87,Cẩm Thủy,Thanh Hóa,,110091,4245,2590,17
87,88,Cẩm Xuyên,Hà Tĩnh,,149313,6364,2350,23
88,89,Cần Đước,Long An,,187359,2205,8500,17
89,90,Cần Giờ,Thành phố Hồ Chí Minh,,71526,7042,1020,7
90,91,Cần Giuộc,Long An,,214914,2151,9990,15
91,92,Can Lộc,Hà Tĩnh,,129098,3021,4270,18
92,93,Càng Long,Trà Vinh,,147694,2939,5030,14
93,94,Cao Bằng,Cao Bằng,thành phố,73549,1071,6870,11
94,95,Cao Lãnh,Đồng Tháp,thành phố,164835,1073,1536,15
95,96,Cao Lãnh,Đồng Tháp,,197614,4911,4020,18
96,97,Cao Lộc,Lạng Sơn,,79873,6191,1290,22
97,98,Cao Phong,Hòa Bình,,45470,2552,1780,10
98,99,Cát Hải,Hải Phòng,huyện đảo,32090,3256,990,12
99,100,Cát Tiên,Lâm Đồng,,35283,4269,830,9
100,101,Cầu Giấy,Hà Nội,quận,292536[3],124,23516,8
101,102,Cầu Kè,Trà Vinh,,102767,2466,4170,11
102,103,Cầu Ngang,Trà Vinh,,121254,3284,3690,15
103,104,Châu Đốc,An Giang,thành phố,101765,1052,9670,7
104,105,Châu Đức,Bà Rịa – Vũng Tàu,,143859,4246,3390,16
