"Column_Names","Additional_Labels"
"version","Version of Data File"
"doi","Digital Object Identifier"
"A_WAVE","Wave"
"A_YEAR","Year of survey"
"A_STUDY","Study"
"B_COUNTRY","ISO 3166-1 numeric country code"
"B_COUNTRY_ALPHA","ISO 3166-1 alpha-3 country code"
"C_COW_NUM","CoW country code numeric"
"C_COW_ALPHA","CoW country code alpha"
"D_INTERVIEW","Interview ID"
"S007","Unified respondent number"
"J_INTDATE","Date of interview"
"FW_END","Year/month of end-fieldwork"
"FW_START","Year/month of start-fieldwork"
"K_TIME_START","Start time of the interview [HH.MM]"
"K_TIME_END","End time of the interview [HH.MM]"
"K_DURATION","Total length of interview [minutes]"
"Q_MODE","Mode of data collection"
"N_REGION_ISO","Region ISO 3166-2"
"N_REGION_WVS","Region country specific"
"N_REGION_NUTS2","Region NUTS-2"
"reg_nuts1","Region where the interview was conducted (NUTS-1)"
"N_TOWN","Settlement name"
"G_TOWNSIZE","Settlement size_8 groups"
"G_TOWNSIZE2","Settlement size_5 groups"
"H_SETTLEMENT","Settlement type"
"H_URBRURAL","Urban-Rural"
"L_INTERVIEWER_NUMBER","Interviewer number"
"I_PSU","Primary Sampling Unit ID"
"O1_LONGITUDE","Geographical Coordinates - Longitude"
"O2_LATITUDE","Geographical Coordinates - Latitude"
"S_INTLANGUAGE","Language in which interview was conducted"
"LNGE_ISO","Language in which interview was conducted  (ISO 639-1 Alpha 2 digit)"
"E_RESPINT","Respondent interested during the interview"
"F_INTPRIVACY","Interview privacy"
"E1_LITERACY","Respondent's literacy"
"W_WEIGHT","Weight"
"S018","Equilibration weight-1000"
"S025","Country - year"
"Q1","Important in life: Family"
"Q2","Important in life: Friends"
"Q3","Important in life: Leisure time"
"Q4","Important in life: Politics"
"Q5","Important in life: Work"
"Q6","Important in life: Religion"
"Q7","Important child qualities: good manners"
"Q8","Important child qualities: independence"
"Q9","Important child qualities: hard work"
"Q10","Important child qualities: feeling of responsibility"
"Q11","Important child qualities: imagination"
